,yearID,teamID,franchID,Rank,DivWin,WCWin,WSWin,name,park,BPF,PPF
217,1888,PHI,PHI,3,,,N,Philadelphia Quakers,Philadelphia Baseball Grounds,105,104
218,1888,PIT,PIT,6,,,N,Pittsburg Alleghenys,Recreation Park,92,93
219,1888,SL4,STL,1,,,N,St. Louis Browns,Sportsman's Park I,111,106
220,1888,WS8,WNL,8,,,N,Washington Nationals,Swampdoodle Grounds,94,98
221,1889,BL2,BLO,5,,,N,Baltimore Orioles,Oriole Park,98,99
222,1889,BR3,LAD,1,,,N,Brooklyn Bridegrooms,Washington Park I,95,91
223,1889,BSN,ATL,2,,,N,Boston Beaneaters,South End Grounds II,106,104
224,1889,CHN,CHC,3,,,N,Chicago White Stockings,West Side Park I,105,103
225,1889,CL4,CLV,6,,,N,Cleveland Spiders,National League Park,104,105
226,1889,CL6,CLS,6,,,N,Columbus Solons,Recreation Park II,95,94
227,1889,CN2,CIN,4,,,N,Cincinnati Red Stockings,League Park I in Cincinnati,105,103
228,1889,IN3,IND,7,,,N,Indianapolis Hoosiers,Athletic Park II,102,104
229,1889,KC2,KCC,7,,,N,Kansas City Cowboys,Exposition Park,105,108
230,1889,LS2,LOU,8,,,N,Louisville Colonels,Eclipse Park I,98,100
231,1889,NY1,SFG,1,,,Y,New York Giants,Polo Grounds II,104,101
232,1889,PH4,PHA,3,,,N,Philadelphia Athletics,Jefferson Street Grounds,98,99
233,1889,PHI,PHI,4,,,N,Philadelphia Quakers,Philadelphia Baseball Grounds,109,108
234,1889,PIT,PIT,5,,,N,Pittsburg Alleghenys,Recreation Park,91,93
235,1889,SL4,STL,2,,,N,St. Louis Browns,Sportsman's Park I,113,110
236,1889,WS8,WNL,8,,,N,Washington Nationals,Swampdoodle Grounds,94,98
237,1890,BFP,BFB,8,,,,Buffalo Bisons,,92,97
238,1890,BL3,BLO,6,,,N,Baltimore Orioles,Oriole Park,109,110
239,1890,BR4,BRG,9,,,N,Brooklyn Gladiators,Ridgewood Park,97,101
240,1890,BRO,LAD,1,,,N,Brooklyn Bridegrooms,Washington Park II,101,97
241,1890,BRP,BWW,2,,,,Brooklyn Ward's Wonders,,106,105
242,1890,BSN,ATL,5,,,N,Boston Beaneaters,South End Grounds II,108,105
243,1890,BSP,BRS,1,,,,Boston Reds,,103,99
244,1890,CHN,CHC,2,,,N,Chicago Colts,West Side Park I,104,102
